SHIPMENT ID,ORIGIN_CITY,OST,O_ZIP,DEST_CITY,DST,D_ZIP,CLASS,WEIGHT,CUBE,RETAIL SHIPMENT FLAG,LIFTGATE FLAG,Carrier 1,Carrier 2,Carrier 3,Carrier 4,Carrier 5,Carrier 6,Carrier 7,Carrier 8,Carrier 9,Carrier 10,Carrier 11,Carrier 12,Carrier 13,Carrier 14,Carrier 15,Carrier 16
100000800,ROCK ISLAND                ,IL,61201,NEWTON                     ,NC,28658,70,500,42.37, Non-Retail , Non-Liftgate ,$279.92 ,$279.27 ,$148.17 ,$180.47 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$393.98 ,$0.00 ,$198.28 ,$0.00 ,$144.36 
100000801,ROCK HILL                  ,SC,29730,WILMER                     ,TX,75172,70,"1,100",88, Non-Retail , Non-Liftgate ,$279.90 ,$501.01 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$706.79 ,$0.00 ,$279.27 ,$340.38 ,$265.28 
100000802,ROCK HILL                  ,SC,29730,NORTHBROOK                 ,IL,60062,70,270,30.34, Non-Retail , Non-Liftgate ,$321.96 ,$179.27 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$252.89 ,$0.00 ,$293.24 ,$0.00 ,$143.59 
100000803,SURPRISE                   ,AZ,85379,TRACY                      ,CA,95304,70,"1,223",96.3, Retail , Non-Liftgate ,$357.62 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$357.40 ,$662.45 ,$0.00 ,$480.32 ,$0.00 ,$210.29 
100000804,LADNER                     ,BC,V4G1A6,TACOMA                     ,WA,98424,150,70,15.91, Non-Retail , Non-Liftgate ,$328.23 ,$0.00 ,$368.86 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$390.34 ,$0.00 ,$535.59 ,$0.00 ,$0.00 
100000805,SANTA CLARITA              ,CA,91355,TRACY                      ,CA,95304,125,"3,667",509.31, Retail , Non-Liftgate ,$860.37 ,$0.00 ,"$1,125.56 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$380.56 ,$0.00 ,$0.00 ,$990.09 ,"$2,115.68 ",$0.00 ,"$1,667.50 ",$0.00 ,$586.63 
100000806,COMPTON                    ,CA,90220,ROMEOVILLE                 ,IL,60446,70,229,27.93, Non-Retail , Non-Liftgate ,$370.65 ,$0.00 ,$246.35 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$279.16 ,$315.00 ,$0.00 ,$256.13 ,$0.00 ,$236.55 
100000807,SOUTH PITTSBURG            ,TN,37380,ROMEOVILLE                 ,IL,60446,70,"1,284",84.47, Non-Retail , Liftgate Needed ,$275.90 ,$427.93 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$603.71 ,$0.00 ,$265.42 ,$0.00 ,$184.11 
100000808,COMPTON                    ,CA,90221,ROMEOVILLE                 ,IL,60446,125,275,43.65, Non-Retail , Non-Liftgate ,$370.65 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$332.46 ,$529.04 ,$0.00 ,$263.84 ,$0.00 ,$291.68 
100000809,ROMEOVILLE                 ,IL,60446,LOUISVILLE                 ,KY,40225,70,150,18.75, Non-Retail , Liftgate Needed ,$256.45 ,$152.50 ,$120.49 ,$180.47 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$180.23 ,$0.00 ,$258.89 ,$0.00 ,$128.82 
